City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nizwa,22.9333,57.5333,23.12,54,40,1.22,OM,1682373037
1,ushuaia,-54.8,-68.3,3.81,93,100,1.54,AR,1682372819
2,punta arenas,-53.15,-70.9167,7.06,100,100,5.66,CL,1682373038
3,jamestown,42.097,-79.2353,6.77,63,100,5.14,US,1682373038
4,rikitea,-23.1203,-134.9692,26.14,86,81,6.78,PF,1682373039
5,busselton,-33.65,115.3333,12.94,79,100,5.63,AU,1682373039
6,many,31.5688,-93.4841,21.69,44,29,3.36,US,1682373039
7,bluff,-46.6,168.3333,11.56,83,94,15.27,NZ,1682373039
8,port hardy,50.6996,-127.4199,9.1,81,75,2.57,CA,1682373040
9,linhares,-19.3911,-40.0722,21.9,86,91,2.22,BR,1682373040
10,atuona,-9.8,-139.0333,27.26,78,23,5.39,PF,1682373040
11,port macquarie,-31.4333,152.9167,16.61,71,86,2.45,AU,1682372823
12,mataura,-46.1927,168.8643,11.38,69,95,4.87,NZ,1682373040
13,beitbridge,-22.2167,30.0,21.26,59,0,2.5,ZW,1682373041
14,la ronge,55.1001,-105.2842,10.12,29,100,6.17,CA,1682373041
15,tuatapere,-46.1333,167.6833,13.04,77,95,5.75,NZ,1682373041
16,zaltan,32.947,11.8665,19.87,45,0,4.75,LY,1682373041
17,hermanus,-34.4187,19.2345,13.22,87,0,3.74,ZA,1682372980
18,airai,-8.9266,125.4092,15.5,93,41,1.59,TL,1682373042
19,outlook,51.5001,-107.0513,11.24,49,100,8.13,CA,1682373042
20,taganak,6.0833,118.3,27.08,73,97,0.75,PH,1682373042
21,albany,42.6001,-73.9662,12.19,51,88,0.45,US,1682373042
22,longyearbyen,78.2186,15.6401,-9.09,79,0,3.6,SJ,1682372973
23,tiksi,71.6872,128.8694,-5.84,95,100,5.73,RU,1682373042
24,provideniya,64.3833,-173.3,-5.91,58,20,12.07,RU,1682373043
25,hilo,19.7297,-155.09,30.16,71,40,5.14,US,1682373043
26,svetlogorsk,52.6333,29.7333,8.39,84,16,3.14,BY,1682373043
27,pangnirtung,66.1451,-65.7125,1.0,86,100,1.54,CA,1682373044
28,tuktoyaktuk,69.4541,-133.0374,-18.0,78,100,3.09,CA,1682373044
29,kaitangata,-46.2817,169.8464,14.4,60,65,7.49,NZ,1682373044
30,catalina foothills,32.2979,-110.9187,32.5,10,0,4.47,US,1682373044
31,kruisfontein,-34.0033,24.7314,18.82,90,74,2.58,ZA,1682373044
32,portland,45.5234,-122.6762,15.79,65,100,3.13,US,1682372506
33,mar del plata,-38.0023,-57.5575,18.94,91,100,3.13,AR,1682372814
34,dikson,73.5069,80.5464,-10.07,90,19,5.85,RU,1682373045
35,richards bay,-28.783,32.0377,22.06,73,100,4.94,ZA,1682373045
36,carnarvon,-24.8667,113.6333,19.27,65,96,6.4,AU,1682373017
37,havre-saint-pierre,50.2334,-63.5986,5.2,70,0,4.63,CA,1682372757
38,guaruja,-23.9931,-46.2564,24.94,26,40,2.06,BR,1682373046
39,cape town,-33.9258,18.4232,17.43,93,40,0.51,ZA,1682372290
40,macherla,16.4833,79.4333,26.92,85,31,5.07,IN,1682373046
41,atar,20.5169,-13.0499,31.23,13,0,3.08,MR,1682373046
42,alofi,-19.0595,-169.9187,26.94,78,75,3.09,NU,1682373046
43,sitka,57.0531,-135.33,4.94,75,100,5.66,US,1682373047
44,cidreira,-30.1811,-50.2056,21.87,82,11,7.83,BR,1682373047
45,meulaboh,4.1363,96.1285,25.09,89,100,1.83,ID,1682373047
46,ponta do sol,32.6667,-17.1,19.28,79,99,1.06,PT,1682373047
47,las vegas,36.175,-115.1372,31.72,18,0,4.12,US,1682372888
48,kavarna,43.4333,28.3333,11.35,87,96,5.48,BG,1682373047
49,visby,57.6409,18.296,7.81,100,75,4.63,SE,1682373048
50,cabo san lucas,22.8909,-109.9124,29.17,44,20,4.12,MX,1682372972
51,port moresby,-9.4431,147.1797,22.68,100,40,3.09,PG,1682373048
52,srednekolymsk,67.45,153.6833,-0.54,81,10,3.9,RU,1682373048
53,sao filipe,14.8961,-24.4956,23.76,72,2,3.76,CV,1682373048
54,shirgaon,19.7,72.7,26.86,74,100,1.62,IN,1682373049
55,lagoa,39.05,-27.9833,16.16,82,26,5.26,PT,1682373049
56,porto novo,6.4965,2.6036,28.9,77,100,2.61,BJ,1682373049
57,barrow,71.2906,-156.7887,-14.99,85,100,5.14,US,1682373049
58,nunchia,5.6406,-72.1986,24.79,91,89,0.57,CO,1682373049
59,cherskiy,68.75,161.3,-1.45,62,1,1.37,RU,1682373050
60,severo-kurilsk,50.6789,156.125,0.94,82,38,8.89,RU,1682373050
61,champagnole,46.7445,5.9135,9.76,81,95,2.31,FR,1682373050
62,saint george,37.1041,-113.5841,27.19,20,0,3.58,US,1682372802
63,yingcheng,30.95,113.55,9.33,89,100,3.88,CN,1682373051
64,torbay,47.6666,-52.7314,2.16,95,100,9.83,CA,1682373051
65,novobirilyussy,56.9514,90.6661,5.0,93,100,3.45,RU,1682373051
66,pontianak,-0.0333,109.3333,23.99,100,40,0.51,ID,1682373051
67,saldanha,-33.0117,17.9442,14.03,92,28,2.2,ZA,1682373051
68,mahebourg,-20.4081,57.7,25.14,94,20,1.03,MU,1682373052
69,faanui,-16.4833,-151.75,27.25,79,34,4.32,PF,1682373052
70,monte alegre,-2.0078,-54.0692,24.91,92,53,1.65,BR,1682373052
71,lorengau,-2.0226,147.2712,28.14,81,88,3.54,PG,1682373020
72,olavarria,-36.8927,-60.3225,16.62,55,65,2.95,AR,1682373052
73,gornopravdinsk,60.05,69.9,-2.93,88,90,1.2,RU,1682373052
74,port alfred,-33.5906,26.891,18.99,94,100,1.34,ZA,1682373053
75,brawley,32.9787,-115.5303,34.14,20,0,2.57,US,1682373053
76,ribeira grande,38.5167,-28.7,17.22,94,20,5.81,PT,1682373038
77,kattivakkam,13.2167,80.3167,30.05,90,42,4.98,IN,1682373053
78,salalah,17.0151,54.0924,29.05,74,20,2.06,OM,1682373053
79,yellowknife,62.456,-114.3525,9.29,46,75,4.63,CA,1682373054
80,inhambane,-23.865,35.3833,21.92,79,10,1.97,MZ,1682373054
81,singaraja,-8.112,115.0882,26.0,85,43,0.9,ID,1682372893
82,cercal,37.806,-8.6715,15.97,82,11,2.38,PT,1682373054
83,vaini,-21.2,-175.2,26.09,78,20,1.54,TO,1682373054
84,rosario,-32.9468,-60.6393,20.14,82,0,1.54,AR,1682372809
85,henties bay,-22.116,14.2845,18.45,73,2,2.45,NA,1682373055
86,new norfolk,-42.7826,147.0587,13.17,87,100,0.45,AU,1682372999
87,kangaatsiaq,68.3065,-53.4641,-0.36,95,93,2.66,GL,1682373055
88,baykit,61.67,96.37,2.06,99,100,1.38,RU,1682373055
89,laerdalsoyri,61.098,7.4816,5.18,64,100,4.12,NO,1682373055
90,sola,-13.8833,167.55,26.37,94,75,2.06,VU,1682373056
91,mattru,7.6244,-11.8332,27.04,83,73,1.9,SL,1682373056
92,castro,-24.7911,-50.0119,14.74,82,4,2.12,BR,1682373056
93,hobart,-42.8794,147.3294,13.36,79,75,3.6,AU,1682373014
94,brandon,27.9378,-82.2859,26.06,75,75,3.09,US,1682372907
95,clyde river,70.4692,-68.5914,-4.87,93,75,7.72,CA,1682373057
96,newport,51.5877,-2.9984,7.05,89,76,4.17,GB,1682372948
97,vidim,56.4088,103.1106,-4.35,91,46,1.5,RU,1682373057
98,juneau,58.3019,-134.4197,6.34,81,75,10.29,US,1682372878
99,oranjemund,-28.55,16.4333,15.97,98,79,2.85,NA,1682373058
100,banda aceh,5.5577,95.3222,26.68,80,100,2.77,ID,1682373058
101,kapaa,22.0752,-159.319,25.99,86,100,5.66,US,1682373058
102,port-gentil,-0.7193,8.7815,27.98,83,75,1.54,GA,1682373058
